ingredient_name,canonical_name,afcd_food_key,afcd_food_name,afcd_match_score,nutrition_basis,energy_kj,energy_kcal,protein_g,fat_total_g,carbohydrates_g,sugars_g,fibre_g,sodium_mg,cpi_category,latest_cpi_period,latest_cpi_index,cpi_monthly_pct_change,cpi_annual_pct_change,foodkeeper_product_id,foodkeeper_name,foodkeeper_subtitle,expiry_match_score,pantry_min_days,pantry_max_days,refrigerate_min_days,refrigerate_max_days,freeze_min_days,freeze_max_days
dried chili,chili,F002896,"Chilli (chili), green, raw",0.875,per_100_g,181.0,43.26,2.8,0.3,1.0,1.0,12.9,4.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,232,Chili powder,,0.93,730,730,,,,
dried chili pepper flakes,chili pepper flake,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried chili pods,chili pod,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried chilies,chily,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried chinese mushrooms,chinese mushroom,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried chipotle chile,chipotle chile,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried chipotle chiles,chipotle chile,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried chipotle pepper,chipotle pepper,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried chipotle peppers,chipotle pepper,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried chipotle powder,chipotle powder,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried chives,chive,F002907,"Chives, raw",1.0,per_100_g,120.0,28.68,1.5,0.3,2.6,2.6,4.7,7.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,512,Chives,,1.0,7,14,14,21,,
dried cilantro,cilantro,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,506,Cilantro,,1.0,7,14,14,21,,
